name,lat,lon,country
IZMIT,40.77,29.92,Turkey
GULFPORT,30.35,-89.08,United States
HAFNARFJORDUR,64.07,-21.95,Iceland
HAIFA,32.82,35.0,Israel
HAIKOU,20.05,110.28,China
HALDEN,59.12,11.38,Norway
HALLSTAVIK,60.05,18.58,Sweden
HALMSTAD,56.67,12.87,Sweden
HAMBURG,53.55,9.93,Germany
HAMILTON,32.3,-64.78,Bermuda
HAMILTON,43.25,-79.85,Canada
HAMINA,60.57,27.2,Finland
HAMMERFEST,70.67,23.67,Norway
HANKO,59.82,22.95,Finland
HANSTHOLM,57.13,8.6,Denmark
HARLINGEN,53.18,5.42,Netherlands
HARSTAD,68.8,16.55,Norway
HARTLEPOOL,54.7,-1.18,United Kingdom
HARWICH,51.95,1.28,United Kingdom
HAUGESUND,59.42,5.27,Norway
HAY POINT,-21.28,149.3,Australia
HAZIRA,21.08,72.63,India
HELSINGBORG,56.05,12.7,Sweden
HELSINGOR,56.03,12.62,Denmark
HELSINKI,60.17,24.97,Finland
HEMNESBERGET,66.23,13.62,Norway
HARNOSAND,62.63,17.93,Sweden
NEW LONDON,41.35,-72.08,United States
HIGASHI-HARIMA,34.7,134.83,Japan
SHIMONOSEKI,33.93,130.93,Japan
TAMPA,27.92,-82.45,United States
HILO,19.73,-155.07,United States
HIROSHIMA,34.35,132.47,Japan
HIROHATA,34.77,134.63,Japan
HIRTSHALS,57.6,9.97,Denmark
HITACHI,36.5,140.63,Japan
HOBART,-42.88,147.33,Australia
HOBOKEN,40.75,-74.02,United States
HOEK VAN HOLLAND,51.95,4.13,Netherlands
HOLMESTRAND,59.48,10.3,Norway
SISIMIUT,66.92,-53.7,Greenland
KIEL,54.32,10.13,Germany
HOLYHEAD,53.32,-4.63,United Kingdom
HONFLEUR,49.42,0.22,France
HONG KONG,22.27,114.2,Hong Kong
HONIARA,-9.42,159.95,Solomon Islands
HONOLULU,21.3,-157.87,United States
HOPA,41.42,41.4,Turkey
HORSENS,55.87,9.85,Denmark
HORTA,38.53,-28.63,Portugal
TALCAHUANO,-36.7,-73.1,Chile
HUDIKSVALL,61.73,17.12,Sweden
HUELVA,37.25,-6.95,Spain
PORT HUENEME,34.15,-119.2,United States
HUNTERSTON,55.75,-4.88,United Kingdom
HUSUM,63.33,19.15,Sweden
IBIZA,38.9,1.45,Spain
IJMUIDEN,52.47,4.58,Netherlands
IMARI,33.28,129.88,Japan
IMBITUBA,-28.23,-48.67,Brazil
IMMINGHAM,53.63,-0.2,United Kingdom
INKOO,60.02,23.92,Finland
ST ROSE,29.95,-90.32,United States
INVERNESS,57.48,-4.23,United Kingdom
PORT MOODY,49.28,-122.88,Canada
IPSWICH,52.05,1.17,United Kingdom
IQUIQUE,-20.2,-70.17,Chile
ISKENDERUN,36.6,36.17,Turkey
ISHIGAKI,24.33,124.17,Japan
ISLE OF GRAIN,51.43,0.7,United Kingdom
ITACOATIARA,-3.15,-58.45,Brazil
ITAJAI,-26.92,-48.63,Brazil
ITAQUI,-2.57,-44.37,Brazil
IZMIR,38.43,27.13,Turkey
JAKOBSTAD,63.68,22.67,Finland
KOTA KINABALU,5.98,116.07,Malaysia
JIANGYIN,31.92,120.23,China
JOHNSTON ATOLL,16.75,-169.52,Johnston Atoll
JORDAN,10.67,122.58,Philippines
JOSE IGNACIO,-34.95,-54.7,Uruguay
KAHULUI,20.9,-156.47,United States
KAKOGAWA,34.7,134.83,Japan
KALAMA,46.02,-122.85,United States
KALI LIMENES,34.93,24.83,Greece
KALININGRAD,54.7,20.48,Russia
KALMAR,56.67,16.37,Sweden
KALUNDBORG,55.68,11.1,Denmark
MOSS,59.45,10.67,Norway
KAMSAR,10.63,-14.62,Guinea
KANDA,33.78,131.02,Japan
KANDALAKSHA,67.13,32.42,Russia
KANDLA,23.03,70.22,India
KAO-HSIUNG,22.62,120.25,Taiwan
KARATSU,33.48,129.97,Japan
PLOCE,43.05,17.43,Croatia
KARLSHAMN,56.17,14.87,Sweden
KARLSKRONA,56.17,15.6,Sweden
KARSTO,59.27,5.52,Norway
KARUMBA,-17.48,140.83,Australia
KARWAR,14.82,74.12,India
KASKINEN,62.38,21.23,Finland
KAVALA,40.93,24.4,Greece
KENAI,60.55,-151.27,United States
KERCH,45.35,36.48,Ukraine
TALLINN,59.45,24.77,Estonia
KEY WEST,24.55,-81.82,United States
KHERSON,46.62,32.6,Ukraine
KHOLMSK,47.05,142.05,Russia
KHOMS,32.67,14.25,Libya
KHORRAMSHAHR,30.43,48.18,Iran
KIIRE,31.38,130.55,Japan
KIJANG,0.85,104.6,Indonesia
KILLYBEGS,54.63,-8.45,Ireland
KING'S LYNN,52.75,0.4,United Kingdom
KINGSTON,17.97,-76.78,Jamaica
KINGSTON,41.93,-73.97,United States
KINGSTON,44.23,-76.5,Canada
KINGSTOWN,13.15,-61.23,Saint Vincent and the Grenadines
MOMBASA,-4.07,39.67,Kenya
KIRKENES,69.73,30.05,Norway
KIRKWALL,58.98,-2.97,United Kingdom
KITIMAT,54.0,-128.68,Canada
KLAIPEDA,55.72,21.12,Lithuania
KODIAK,57.78,-152.4,United States
KOKKOLA,63.85,23.02,Finland
KOKO,6.0,5.47,Nigeria
KOLDING,55.48,9.5,Denmark
KOMATSUSHIMA,34.02,134.6,Japan
KOPER,45.55,13.73,Slovenia
KORSAKOV,46.62,142.77,Russia
KORSOR,55.33,11.13,Denmark
KOTA BARU,-3.23,116.22,Indonesia
KOTKA,60.47,26.97,Finland
KOTZEBUE,66.92,-162.58,United States
KRISTIANSAND,58.15,8.0,Norway
KRISTIANSUND,63.12,7.73,Norway
KRISTINESTAD,62.28,21.4,Finland
KRONSHTADT,59.98,29.78,Russia
KUALA BELAIT,4.63,114.2,Brunei
KUALA TANJUNG,3.37,99.48,Indonesia
SUNDSVALL,62.38,17.35,Sweden
KUCHING,1.57,110.35,Malaysia
KUDAMATSU,34.0,131.87,Japan
KUMUL,-8.1,144.57,Papua New Guinea
KUNDA,59.53,26.53,Estonia
KUPANG,-10.17,123.58,Indonesia
KURE,34.23,132.55,Japan
KWAJALEIN,8.72,167.73,Marshall Islands
LA GOULETTE,36.8,10.3,Tunisia
LA GUAIRA,10.62,-66.93,Venezuela
LA LIBERTAD,-2.22,-80.92,Ecuador
LA ROCHELLE,46.15,-1.15,France
LA PALOMA,-34.65,-54.15,Uruguay
LA PAZ,24.17,-110.32,Mexico
LA PLATA,-34.83,-57.88,Argentina
LA ROMANA,18.42,-68.97,Dominican Republic
LA SALINA,10.37,-71.47,Venezuela
LA SPEZIA,44.1,9.83,Italy
LAE,-6.73,147.0,Papua New Guinea
LAEM CHABANG,13.08,100.88,Thailand
LAGOS,6.4,3.4,Nigeria
LAHAD DATU,5.02,118.32,Malaysia
LAKE CHARLES,30.22,-93.25,United States
LANDSKRONA,55.87,12.83,Sweden
LARNACA,34.92,33.65,Cyprus
LARNE,54.85,-5.8,United Kingdom
LARVIK,59.05,10.03,Norway
LAS MAREAS,17.95,-66.17,Puerto Rico
LAS PALMAS,28.15,-15.42,Spain
LAVRIO,37.7,24.07,Greece
LAZARO CARDENAS,17.93,-102.17,Mexico
LE VERDON,45.55,-1.05,France
LIVORNO,43.55,10.32,Italy
LUMUT,4.23,100.63,Malaysia
LERWICK,60.15,-1.15,United Kingdom
LEVUKA,-17.68,178.83,Fiji
LIANYUNGANG,34.73,119.45,China
LIBREVILLE,0.38,9.45,Gabon
LIEPAJA,56.52,21.02,Latvia
LIMASSOL,34.67,33.05,Cyprus
LIMERICK,52.63,-8.62,Ireland
LIMETREE BAY,17.7,-64.75,U.S. Virgin Islands
LIMHAMN,55.58,12.93,Sweden
LINDEN,6.0,-58.3,Guyana
LIRQUEN,-36.72,-72.98,Chile
ZHOUSHAN,30.0,122.1,China
LIVERPOOL,53.42,-3.0,United Kingdom
LOBITO,-12.33,13.57,Angola
LOME,6.13,1.28,Togo
LOMONOSOV,59.92,29.77,Russia
LONDON,51.5,-0.08,United Kingdom
TILBURY,51.47,0.33,United Kingdom
LONG BEACH,33.77,-118.18,United States
LONGVIEW,46.13,-122.93,United States
LORENGAU,-2.02,147.27,Papua New Guinea
LORIENT,47.75,-3.35,France
LOS ANGELES,33.75,-118.25,United States
BEAUHARNOIS,45.32,-73.88,Canada
LOWESTOFT,52.48,1.75,United Kingdom
LUANDA,-8.8,13.25,Angola
LUBA,3.5,8.57,Equatorial Guinea
LUBECK,53.88,10.7,Germany
